Application,Capability,Domain,subdomain,Status,business_owner,software_owner,it_owner,hosting,criticality,interfaces,number_of_users,software_support_partner,transition,stages,description,start_date,end_date,country,region,updated_at,created_at
SAP India,Production,-,-,Migrate,-,SAP,Rachit Buschan,AWS,High,Multiple,120,SAP,SAP Calderys,-,-,-,-,India,APAC,6/12/2024,29/11/2024
Brevo (Sendinblue),Marketing and Sales,Marketing and Sales Development,Develop M&S Messages,Strategic,-,-,-,-,-,-,-,-,-,-,-,-,-,Worldwide,Global,22/01/2025,22/01/2025
PDM QAD's,Product and Service Development,Quality Management,-,Replace,Frederic Arama,-,Josh Stauffer,Local,Low,TBD,-,-,TBD,-,-,-,-,Americas,Global,9/12/2024,3/12/2024
Oracle CRM,Customer Relationship,Customer Management,Manage Customer Hierarchy,Strategic,-,Oracle,Josh Stauffer,SaaS,High,Multiple,200,Oracle,As-Is,-,-,-,-,Americas,AMERICAS,6/12/2024,6/12/2024
SAP India,Marketing and Sales,-,-,Migrate,-,SAP,Rachit Buschan,AWS,High,Multiple,120,SAP,SAP Calderys,-,-,-,-,India,APAC,6/12/2024,29/11/2024
Salesforce,Customer Relationship,Contact Management,Inbound Contact,Strategic,Frederic Arama,SalesForce,-,SaaS,High,TBD,650,SalesForce,As-Is,-,-,-,-,empty,EMEA,16/12/2024,6/12/2024
Predictive Solutions,Production,Environment Health & Safety,-,Retired,-,-,-,TBD,Low,TBD,-,-,SAI360,-,-,-,-,Worldwide,EMEA,9/12/2024,29/11/2024
Logotiger,Finance,-,-,Migrate,"Hakan Akkoyunlu (Accounting manager)

Ozan Ta?tan
(Finance manager)",Logo solution company (LBS) / logo yaz?l?m.,Beata Liptsey,Local,High,Avasoft via Uyumsoft,"Logo Tiger: 21
Bordro plus: 3
Avasoft: 39","Alternatif

Logo solution company (LBS)",SAP Calderys,-,-,-,-,Turkey,EMEA,12/12/2024,29/11/2024
Lascom Aptean PDM,Product and Service Development,-,-,Migrate,Nicolas Duvauchelle,"Aptean
Lascom",-,TBD,High,SAP Calderys,283,Lascom,Dassault,-,-,-,-,empty,EMEA,3/12/2024,3/12/2024
Cisco ISE,Enterprise Support,Enterprise Risk Management,Manage Security,Strategic,Cyril Arnould,Cisco,Cyril Arnould,SaaS,High,N/A,-,"NTT
Oussama",As-Is,-,-,-,-,Worldwide,Global,29/11/2024,29/11/2024
Oracle Fusion,Finance,-,-,Strategic,-,Oracle,Nate Warren,SaaS,High,Multiple,1650,Oracle,As-Is,-,-,-,-,Americas,AMERICAS,9/12/2024,29/11/2024
SAP Metallurgy,Procurement and Logistics,-,-,Migrate,-,SAP,Beata Liptsey,AWS,High,Multiple,250,SAP,SAP Calderys,-,-,-,-,US,AMERICAS,6/12/2024,6/12/2024
Okta,Enterprise Support,Enterprise Risk Management,Manage Security,Strategic,Cyril Arnould,Okta,-,TBD,High,N/A,-,Lyvoc,As-Is,-,-,-,-,Worldwide,Global,29/11/2024,29/11/2024
Concur EMEA/APAC,Finance,Settlements and Payments,Travel and Expense Management,Strategic,"Nick Redman (SSC)
Emilie Dehors (Purchase)
Jean-Pierre Lacroute (HR)",Concur,Edit Fábián,AWS,High,"SAP Caldreys
SAP Metallurgy",1200,Concur,As-Is,-,-,-,-,Worldwide,Global,29/11/2024,29/11/2024
Mfg App Tools,Production,Machine Management,Optimize Machine,Tactical,-,HWI IT,Rob Wolken,Local,High,TBD,-,HWI IT,TBD,-,-,-,-,Americas,AMERICAS,9/12/2024,29/11/2024
SAP India,Procurement and Logistics,-,-,Migrate,-,SAP,Rachit Buschan,AWS,High,Multiple,120,SAP,SAP Calderys,-,-,-,-,India,APAC,6/12/2024,29/11/2024
Quimeo,Enterprise Support,Enterprise Effectiveness and Project Manageme,Manage Programs,Tactical,Frederic Arama,Quimeo,-,SaaS,Medium,TBD,65,-,TBD,-,-,-,-,Worldwide,Global,3/12/2024,3/12/2024
Galileo,Production,Machine Management,Operate Machine,Strategic,Adriaan Van der Schriek,Syntact automation,"Daniel Kloetzsch
Volker Hein",AWS,High,SAP Calderys,150,Syntact automation,As-Is,-,-,-,-,empty,EMEA,9/12/2024,29/11/2024
Power BI,Enterprise Support,Information Management,Define Reports and KPI's,Strategic,-,Microsoft,-,TBD,High,Oracle ADW,-,-,As-Is,-,-,-,-,Worldwide,Global,6/12/2024,29/11/2024
Red-On-line Capex Tool,Production,Environment Health & Safety,-,Retired,Frederic Arama,Red-on-line,-,SaaS,Medium,TBD,65,Red-on-line,TBD,-,-,-,-,Worldwide,Global,6/12/2024,29/11/2024
Qlikview,Enterprise Support,Information Management,Define Reports and KPI's,Replace,Frédéric Mascle,Qliktech France ,-,SaaS,High,TBD,107,Qliktech France ,Power BI,-,-,-,-,Worldwide,EMEA,3/12/2024,29/11/2024
DMI SAP Archive,Enterprise Support,IT Management,Technology Management,Tactical,-,-,-,-,-,-,-,-,-,-,-,-,-,France,EMEA,17/01/2025,17/01/2025
OP Manager,Enterprise Support,Enterprise Risk Management,Manage Security,Strategic,Cyril Arnould,ManageEngine,Cyril Arnould,SaaS,High,N/A,-,-,As-Is,-,-,-,-,Worldwide,Global,3/12/2024,29/11/2024
SAP BW Metallurgy,Enterprise Support,Information Management,Illustrate Data,Strategic,Frédéric Mascle,SAP,"Olivier Bastard
Léonard Cousin
Mohamed Tahiri",AWS,High,Multiple,-,SAP,Power BI,-,-,-,-,US,AMERICAS,6/12/2024,6/12/2024
Intelligence2day,Product and Service Development,Marketing Testing,Analyse customer Intelligence,Tactical,-,Cominitelli,-,TBD,Medium,TBD,-,-,TBD,-,-,-,-,empty,TBD,9/12/2024,3/12/2024
Qualys Via,Enterprise Support,Enterprise Risk Management,Manage Compliance,Tactical,"Andras Balogh
Mathieu Lai",Qualys,"Andras Balogh
Mathieu Lai",SaaS,High,N/A,-,-,TBD,-,-,-,-,Worldwide,Global,3/12/2024,3/12/2024
Vantage,Enterprise Support,Enterprise Effectiveness and Project Manageme,Manage Programs,Strategic,Frederic Arama,Vantage,Hui Huan,TBD,Medium,N/A,238,-,As-Is,-,-,-,-,Worldwide,Global,29/11/2024,29/11/2024
SAP Metallurgy,Marketing and Sales,-,-,Migrate,-,SAP,Beata Liptsey,AWS,High,Multiple,250,SAP,SAP Calderys,-,-,-,-,US,EMEA,6/12/2024,29/11/2024
Sage Accpac,Production,-,-,Tactical,"Kayla Wang
Fuzhi Zhang",Sage,Beata Liptsey,AWS,High,Banklink Calderys China,50 in China,Best FPW?,SAP Calderys,-,-,-,-,China,APAC,9/12/2024,6/12/2024
Orbit VMI,Procurement and Logistics,Logistics Management,-,Tactical,-,Orbit,Stefan Klecha,SaaS,High,SAP Metallurgy,20,"Transporeon
Trimble
Pasapas
Talan",TBD,-,-,-,-,Germany,EMEA,9/12/2024,29/11/2024
Adamentes,Enterprise Support,Human Resource Management,Manage Payroll,Tactical,-,-,-,Local,High,TBD,-,-,As-Is,-,-,-,-,Hungary,EMEA,6/12/2024,3/12/2024
